,Both Doses %,One Dose %,Unvaccinated %
18,15.14,33.29,51.57
25,18.76,35.67,45.57
30,22.46,37.83,39.71
35,28.07,38.49999999999999,33.43000000000001
40,43.54,30.330000000000005,26.129999999999995
45,58.87,21.35,19.78
50,80.19,5.260000000000005,14.549999999999997
55,83.74,4.38000000000001,11.879999999999995
60,86.71,3.4200000000000017,9.870000000000005
65,90.02,2.1200000000000045,7.859999999999999
70,92.92,1.4699999999999989,5.609999999999999
75,94.01,1.3900000000000006,4.599999999999994
80,93.55,1.9500000000000028,4.5
85,93.24,2.2700000000000102,4.489999999999995
90,91.31,2.6400000000000006,6.049999999999997
