,first doses,second doses,total doses,Extrapolated doses
2021-01-10,1959151.0,374613.0,2333764.0,
2021-01-11,2080280.0,393925.0,2474205.0,
2021-01-12,2254556.0,407294.0,2661850.0,
2021-01-13,2494371.0,415656.0,2910027.0,
2021-01-14,2769164.0,420510.0,3189674.0,
2021-01-15,3090058.0,424327.0,3514385.0,
2021-01-16,3365492.0,426102.0,3791594.0,
2021-01-17,3520056.0,427386.0,3947442.0,
2021-01-18,3687206.0,431136.0,4118342.0,
2021-01-19,3985579.0,434125.0,4419704.0,
2021-01-20,4303730.0,436848.0,4740578.0,
2021-01-21,4661293.0,439182.0,5100475.0,
2021-01-22,5085771.0,440300.0,5526071.0,
2021-01-23,5529101.0,441074.0,5970175.0,
2021-01-24,5727693.0,441684.0,6169377.0,
2021-01-25,5962544.0,443010.0,6405554.0,
2021-01-26,6221850.0,444011.0,6665861.0,
2021-01-27,6473752.0,445101.0,6918853.0,
2021-01-28,6816945.0,446372.0,7263317.0,
2021-01-29,7253305.0,447898.0,7701203.0,
2021-01-30,7792996.0,458150.0,8251146.0,
2021-01-31,8082355.0,460907.0,8543262.0,
2021-02-01,8362868.0,462503.0,8825371.0,
2021-02-02,8663041.0,463889.0,9126930.0,
2021-02-03,9041835.0,466171.0,9508006.0,
2021-02-04,9430261.0,468782.0,9899043.0,
2021-02-05,9831897.0,470723.0,10302620.0,
2021-02-06,10290215.0,471324.0,10761539.0,
2021-02-07,10519729.0,471636.0,10991365.0,
2021-02-08,10771998.0,473055.0,11245053.0,
2021-02-09,11083652.0,475228.0,11558880.0,
2021-02-10,11422507.0,479320.0,11901827.0,
2021-02-11,11809241.0,483966.0,12293207.0,
2021-02-12,12246166.0,487699.0,12733865.0,
2021-02-13,12675663.0,489885.0,13165548.0,
2021-02-14,12862909.0,490722.0,13353631.0,
2021-02-15,13082669.0,492576.0,13575245.0,
2021-02-16,13395338.0,495704.0,13891042.0,
2021-02-17,13817914.0,500201.0,14318115.0,
2021-02-18,14214176.0,504762.0,14718938.0,
2021-02-19,14537978.0,508657.0,15046635.0,
2021-02-20,14844087.0,511089.0,15355176.0,
2021-02-21,14958074.0,513435.0,15471509.0,
2021-02-22,15113158.0,518779.0,15631937.0,
2021-02-23,15398055.0,528360.0,15926415.0,
2021-02-24,15794992.0,542569.0,16337561.0,
2021-02-25,16227104.0,558737.0,16785841.0,
2021-02-26,16679881.0,574963.0,17254844.0,
2021-02-27,17051245.0,590547.0,17641792.0,
2021-02-28,17212804.0,599935.0,17812739.0,
2021-03-01,17373384.0,612567.0,17985951.0,
2021-03-02,17554700.0,640219.0,18194919.0,
2021-03-03,17785702.0,684220.0,18469922.0,
2021-03-04,18106090.0,729265.0,18835355.0,
2021-03-05,18491771.0,766500.0,19258271.0,
2021-03-06,18875389.0,788188.0,19663577.0,
2021-03-07,19015497.0,797321.0,19812818.0,
2021-03-08,19199233.0,821121.0,20020354.0,
2021-03-09,19380360.0,868272.0,20248632.0,
2021-03-10,19587080.0,939232.0,20526312.0,
2021-03-11,19798473.0,1008912.0,20807385.0,
2021-03-12,20111189.0,1076426.0,21187615.0,
2021-03-13,20568821.0,1115066.0,21683887.0,
2021-03-14,20791838.0,1129444.0,21921282.0,
2021-03-15,21122514.0,1161526.0,22284040.0,
2021-03-16,21493356.0,1224435.0,22717791.0,
2021-03-17,21886125.0,1315341.0,23201466.0,
2021-03-18,22337590.0,1419950.0,23757540.0,
2021-03-19,22873079.0,1520680.0,24393759.0,
2021-03-20,23559503.0,1591129.0,25150632.0,
2021-03-21,23854862.0,1621547.0,25476409.0,
2021-03-22,24137423.0,1685983.0,25823406.0,
2021-03-23,24406074.0,1820530.0,26226604.0,
2021-03-24,24681955.0,2028543.0,26710498.0,
2021-03-25,24940005.0,2226749.0,27166754.0,
