,60 to 64,65 to 69,70 to 79,Over 80
 African,53.6,60.6,62.9,63.2
 Bangladeshi or British Bangladeshi,74.4,82.4,83.4,78.3
 Caribbean,52.2,63.4,72.8,75.3
 Chinese,61.7,71.7,77.3,78.3
 Other,60.6,70.9,78.2,82.0
 Other Asian,72.2,80.0,81.9,81.4
British or Mixed British,84.3,93.1,96.2,96.6
Indian or British Indian,79.1,85.8,88.9,89.8
Irish,78.9,87.7,92.3,93.7
Other Black,55.5,67.9,70.9,69.4
Other White,62.0,74.1,86.3,90.5
Other mixed,65.7,73.3,81.3,84.8
Pakistani or British Pakistani,63.7,70.7,76.7,76.9
Unknown,69.4,80.7,87.2,85.4
White + Asian,75.6,82.8,86.6,85.9
White + Black African,60.2,66.7,73.2,67.9
White + Black Caribbean,60.5,70.0,77.3,78.2
