,Belgium,France,Germany,Italy,Netherlands,Poland,Spain,Sweden,Switzerland,United Kingdom
2020-02-15,,,,,,,,,,
2020-02-16,,,,,,,,,,
2020-02-17,,,,,,,,,,
2020-02-18,,,,,,,,,,
2020-02-19,,,,,,,,,,
2020-02-20,,,,,,,,,,
2020-02-21,0.14285714285714285,0.42857142857142855,3.4285714285714284,1.7142857142857142,1.1428571428571428,5.857142857142857,0.5714285714285714,-0.42857142857142855,0.8571428571428571,2.0
2020-02-22,-0.8571428571428571,-0.14285714285714285,2.4285714285714284,1.1428571428571428,1.1428571428571428,5.285714285714286,0.5714285714285714,-0.7142857142857143,1.1428571428571428,3.142857142857143
2020-02-23,-0.8571428571428571,0.14285714285714285,1.4285714285714286,0.0,2.7142857142857144,2.5714285714285716,1.2857142857142858,1.0,1.7142857142857142,4.0
2020-02-24,0.0,0.42857142857142855,1.4285714285714286,-0.5714285714285714,4.0,1.8571428571428572,2.0,1.8571428571428572,3.0,2.142857142857143
2020-02-25,1.0,-0.14285714285714285,1.0,-1.8571428571428572,5.571428571428571,1.5714285714285714,2.0,3.0,3.142857142857143,1.0
2020-02-26,0.42857142857142855,-0.2857142857142857,0.14285714285714285,-3.7142857142857144,5.571428571428571,0.5714285714285714,2.0,3.2857142857142856,3.0,0.2857142857142857
2020-02-27,0.42857142857142855,-0.7142857142857143,-0.8571428571428571,-5.428571428571429,5.285714285714286,0.0,2.4285714285714284,4.142857142857143,2.0,-0.14285714285714285
2020-02-28,0.2857142857142857,-0.7142857142857143,-0.7142857142857143,-6.714285714285714,4.428571428571429,0.2857142857142857,2.142857142857143,4.428571428571429,2.0,-0.7142857142857143
2020-02-29,0.2857142857142857,-0.8571428571428571,-0.7142857142857143,-8.0,3.857142857142857,0.42857142857142855,1.7142857142857142,5.571428571428571,1.0,0.0
2020-03-01,1.2857142857142858,-1.8571428571428572,0.42857142857142855,-10.0,4.142857142857143,2.4285714285714284,1.0,5.142857142857143,-0.5714285714285714,1.1428571428571428
2020-03-02,-0.2857142857142857,-3.142857142857143,0.42857142857142855,-11.285714285714286,2.0,2.5714285714285716,-0.14285714285714285,5.0,-2.4285714285714284,2.142857142857143
2020-03-03,-1.4285714285714286,-3.4285714285714284,0.5714285714285714,-11.428571428571429,0.0,2.5714285714285716,-0.2857142857142857,3.857142857142857,-3.142857142857143,2.5714285714285716
2020-03-04,-1.1428571428571428,-3.5714285714285716,1.2857142857142858,-10.571428571428571,-0.14285714285714285,3.4285714285714284,-0.2857142857142857,2.857142857142857,-2.857142857142857,2.7142857142857144
2020-03-05,-1.4285714285714286,-4.0,1.4285714285714286,-10.857142857142858,-0.7142857142857143,3.7142857142857144,-1.0,1.8571428571428572,-3.7142857142857144,2.2857142857142856
2020-03-06,-1.4285714285714286,-4.142857142857143,0.5714285714285714,-11.857142857142858,-0.8571428571428571,3.857142857142857,-1.1428571428571428,1.1428571428571428,-4.428571428571429,2.857142857142857
2020-03-07,-0.14285714285714285,-3.7142857142857144,0.8571428571428571,-13.142857142857142,-0.14285714285714285,4.285714285714286,-1.1428571428571428,0.7142857142857143,-4.142857142857143,2.7142857142857144
2020-03-08,-0.2857142857142857,-3.857142857142857,1.4285714285714286,-15.0,-0.7142857142857143,6.714285714285714,-0.8571428571428571,1.0,-3.7142857142857144,2.2857142857142856
2020-03-09,0.14285714285714285,-3.7142857142857144,1.0,-17.428571428571427,-0.2857142857142857,7.0,-0.5714285714285714,0.5714285714285714,-3.857142857142857,1.7142857142857142
2020-03-10,-0.7142857142857143,-4.285714285714286,0.0,-22.571428571428573,-1.5714285714285714,7.428571428571429,-0.5714285714285714,0.0,-5.142857142857143,1.1428571428571428
2020-03-11,-1.4285714285714286,-4.285714285714286,-0.42857142857142855,-29.0,-2.142857142857143,7.285714285714286,-1.2857142857142858,-0.2857142857142857,-5.714285714285714,0.8571428571428571
2020-03-12,-1.8571428571428572,-4.285714285714286,-0.8571428571428571,-37.285714285714285,-2.7142857142857144,4.571428571428571,-3.0,-2.0,-5.714285714285714,0.8571428571428571
2020-03-13,-2.857142857142857,-5.142857142857143,-1.7142857142857142,-45.857142857142854,-4.571428571428571,0.0,-7.428571428571429,-4.142857142857143,-6.714285714285714,-0.14285714285714285
2020-03-14,-13.571428571428571,-7.571428571428571,-4.285714285714286,-55.0,-7.571428571428571,-8.428571428571429,-17.142857142857142,-7.285714285714286,-9.714285714285714,-1.5714285714285714
2020-03-15,-22.857142857142858,-13.0,-7.714285714285714,-63.285714285714285,-12.0,-21.857142857142858,-30.142857142857142,-11.0,-14.428571428571429,-3.7142857142857144
2020-03-16,-27.285714285714285,-18.428571428571427,-8.571428571428571,-69.71428571428571,-15.142857142857142,-29.571428571428573,-41.42857142857143,-13.428571428571429,-15.714285714285714,-4.142857142857143
2020-03-17,-31.857142857142858,-27.428571428571427,-10.571428571428571,-74.57142857142857,-18.285714285714285,-37.714285714285715,-52.857142857142854,-16.285714285714285,-22.428571428571427,-6.0
2020-03-18,-40.0,-38.42857142857143,-15.285714285714286,-78.42857142857143,-23.0,-45.42857142857143,-64.14285714285714,-19.428571428571427,-30.285714285714285,-9.0
2020-03-19,-49.714285714285715,-49.0,-20.714285714285715,-79.71428571428571,-27.571428571428573,-50.857142857142854,-74.85714285714286,-20.857142857142858,-38.0,-11.857142857142858
2020-03-20,-59.857142857142854,-59.714285714285715,-26.571428571428573,-80.42857142857143,-32.285714285714285,-54.714285714285715,-82.57142857142857,-22.428571428571427,-45.714285714285715,-15.571428571428571
2020-03-21,-61.857142857142854,-69.28571428571429,-34.0,-80.85714285714286,-36.57142857142857,-56.42857142857143,-85.85714285714286,-23.714285714285715,-53.285714285714285,-21.285714285714285
2020-03-22,-63.714285714285715,-76.14285714285714,-42.42857142857143,-81.57142857142857,-40.57142857142857,-57.285714285714285,-86.85714285714286,-23.857142857142858,-61.142857142857146,-27.714285714285715
2020-03-23,-69.71428571428571,-81.57142857142857,-49.57142857142857,-82.28571428571429,-42.42857142857143,-57.714285714285715,-87.57142857142857,-24.714285714285715,-68.42857142857143,-33.714285714285715
2020-03-24,-75.14285714285714,-83.71428571428571,-55.0,-82.85714285714286,-44.285714285714285,-57.57142857142857,-88.14285714285714,-24.857142857142858,-70.14285714285714,-41.714285714285715
2020-03-25,-77.28571428571429,-83.85714285714286,-58.42857142857143,-83.42857142857143,-45.714285714285715,-58.57142857142857,-88.57142857142857,-23.857142857142858,-71.28571428571429,-49.142857142857146
2020-03-26,-77.57142857142857,-84.14285714285714,-60.42857142857143,-84.14285714285714,-46.57142857142857,-59.42857142857143,-88.42857142857143,-23.285714285714285,-72.0,-56.714285714285715
2020-03-27,-77.42857142857143,-84.28571428571429,-61.714285714285715,-84.57142857142857,-47.0,-59.857142857142854,-88.57142857142857,-22.571428571428573,-72.28571428571429,-63.57142857142857
2020-03-28,-77.28571428571429,-84.14285714285714,-61.285714285714285,-84.71428571428571,-47.714285714285715,-59.714285714285715,-88.57142857142857,-22.285714285714285,-71.57142857142857,-68.28571428571429
2020-03-29,-78.0,-84.42857142857143,-62.142857142857146,-84.57142857142857,-48.42857142857143,-60.0,-88.57142857142857,-22.0,-71.42857142857143,-72.42857142857143
2020-03-30,-78.28571428571429,-84.85714285714286,-61.714285714285715,-84.71428571428571,-49.285714285714285,-60.42857142857143,-89.14285714285714,-21.571428571428573,-71.85714285714286,-76.57142857142857
2020-03-31,-78.42857142857143,-85.85714285714286,-60.857142857142854,-86.0,-49.0,-60.714285714285715,-89.85714285714286,-21.142857142857142,-74.0,-77.0
2020-04-01,-78.42857142857143,-86.71428571428571,-60.0,-87.0,-48.857142857142854,-60.714285714285715,-90.57142857142857,-21.571428571428573,-76.0,-77.28571428571429
2020-04-02,-78.42857142857143,-87.57142857142857,-59.285714285714285,-87.85714285714286,-48.857142857142854,-60.714285714285715,-91.28571428571429,-22.857142857142858,-78.0,-77.42857142857143
2020-04-03,-78.57142857142857,-87.85714285714286,-59.0,-88.14285714285714,-48.857142857142854,-60.857142857142854,-91.42857142857143,-23.714285714285715,-79.42857142857143,-77.42857142857143
2020-04-04,-78.42857142857143,-88.0,-58.57142857142857,-88.42857142857143,-48.42857142857143,-62.0,-91.42857142857143,-24.0,-80.71428571428571,-77.14285714285714
2020-04-05,-77.28571428571429,-87.57142857142857,-55.857142857142854,-88.57142857142857,-46.857142857142854,-61.0,-91.42857142857143,-24.142857142857142,-80.0,-76.71428571428571
2020-04-06,-77.0,-87.42857142857143,-54.285714285714285,-88.85714285714286,-45.714285714285715,-60.714285714285715,-91.14285714285714,-22.714285714285715,-80.71428571428571,-76.57142857142857
2020-04-07,-76.57142857142857,-86.28571428571429,-53.0,-87.57142857142857,-45.0,-60.57142857142857,-90.71428571428571,-21.428571428571427,-79.0,-76.42857142857143
2020-04-08,-76.14285714285714,-85.42857142857143,-51.57142857142857,-86.42857142857143,-44.0,-59.42857142857143,-90.14285714285714,-19.428571428571427,-77.28571428571429,-76.14285714285714
2020-04-09,-75.57142857142857,-84.42857142857143,-49.57142857142857,-85.14285714285714,-42.714285714285715,-58.0,-90.28571428571429,-16.0,-75.28571428571429,-75.57142857142857
2020-04-10,-75.0,-84.0,-52.857142857142854,-84.57142857142857,-41.42857142857143,-56.714285714285715,-91.28571428571429,-18.857142857142858,-76.42857142857143,-75.85714285714286
2020-04-11,-74.57142857142857,-83.71428571428571,-51.857142857142854,-84.14285714285714,-40.714285714285715,-57.42857142857143,-91.28571428571429,-21.0,-75.71428571428571,-75.85714285714286
2020-04-12,-74.42857142857143,-83.42857142857143,-52.57142857142857,-84.28571428571429,-43.142857142857146,-59.857142857142854,-91.28571428571429,-22.285714285714285,-76.0,-76.85714285714286
2020-04-13,-76.14285714285714,-84.57142857142857,-58.0,-86.14285714285714,-46.142857142857146,-65.28571428571429,-91.71428571428571,-26.0,-77.42857142857143,-77.57142857142857
