,Total cases per million,list colour
:au: Australia,89.09385714285715,green
:bn: Brunei,411.87757142857146,green
:is: Iceland,128.14542857142857,green
:il: Israel,266.20214285714286,green
:nz: New Zealand,7.994285714285715,green
:sg: Singapore,541.9752857142857,green
:ad: Andorra,127.429,amber
:ag: Antigua and Barbuda,484.73728571428575,amber
:at: Austria,207.9412857142857,amber
:bs: Bahamas,167.72257142857143,amber
:bb: Barbados,931.0034285714286,amber
:kh: Cambodia,12.762857142857143,amber
:ca: Canada,98.10657142857143,amber
:hr: Croatia,321.8231428571429,amber
:cy: Cyprus,114.79528571428571,amber
:cz: Czechia,77.79214285714285,amber
:dk: Denmark,93.43100000000001,amber
:do: Dominican Republic,62.67928571428571,amber
:fr: France,75.25957142857143,amber
:de: Germany,97.02828571428572,amber
:gr: Greece,210.9367142857143,amber
:hk: Hong Kong,0.662,amber
:it: Italy,44.89414285714286,amber
:my: Malaysia,277.7364285714286,amber
:mt: Malta,37.757285714285715,amber
:mx: Mexico,38.836,amber
:ma: Morocco,15.198142857142857,amber
:nl: Netherlands,128.68142857142857,amber
:pl: Poland,41.94585714285714,amber
:pt: Portugal,58.278571428571425,amber
:es: Spain,38.17357142857143,amber
:ch: Switzerland,112.19757142857144,amber
:th: Thailand,150.02985714285714,amber
:us: United States,283.09242857142857,amber
:gb: UK,525.383,
