date,France,Germany,Israel,Italy,Spain,United Kingdom,United States
2021-04-04,194.236,66.048,28.421,196.876,92.558,24.541,109.286
2021-04-11,195.662,68.561,22.644,159.687,97.079,22.007,118.485
2021-04-18,186.883,70.978,15.828,130.865,91.248,17.677,120.679
2021-04-25,175.564,70.629,8.896,118.374,82.29,15.099,112.322
2021-05-02,152.109,63.739,6.701,101.054,65.959,12.433,102.029
2021-05-09,114.334,51.824,6.123,81.034,54.487,11.46,91.371
2021-05-16,77.644,38.79,4.159,59.304,44.409,10.267,78.153
2021-05-23,65.448,28.689,4.159,40.911,38.958,12.433,69.099
2021-05-30,45.766,17.122,3.697,28.839,33.93,12.904,60.353
2021-06-06,39.32,11.844,3.004,21.428,30.296,13.729,49.444
2021-06-13,28.253,8.212,2.542,16.214,23.007,19.577,44.782
2021-06-20,18.984,5.447,2.08,10.68,21.296,23.245,40.513
2021-06-27,13.339,3.703,4.044,8.719,22.817,26.117,40.432
2021-07-04,11.26,3.042,7.51,7.495,40.67,39.758,44.048
2021-07-11,10.547,3.21,10.86,8.534,72.677,58.259,54.09
2021-07-18,15.642,4.1,20.218,11.921,103.375,76.57,72.712
2021-07-25,24.911,5.11,33.967,20.036,111.15,92.862,105.872
2021-08-01,48.737,6.277,58.229,23.021,81.867,83.581,152.195
2021-08-08,64.839,4.978,93.351,15.878,35.261,79.28,203.279
2021-08-15,,,130.437,,,,244.747
