country_name,Stringency Index
Australia,48.61
Austria,73.61
Belgium,54.63
Canada,75.46
Switzerland,50.93
Chile,78.24
Colombia,82.41
Czech Republic,56.48
Germany,75.0
Denmark,53.7
Spain,62.96
Estonia,44.44
Finland,52.31
France,63.89
United Kingdom,59.72
Greece,87.96
Hungary,66.67
Ireland,80.56
Iceland,50.0
Israel,43.52
Italy,75.0
Japan,49.07
South Korea,52.78
Lithuania,38.89
Luxembourg,48.15
Latvia,56.48
Mexico,44.44
Netherlands,67.59
Norway,63.89
New Zealand,22.22
Poland,71.3
Portugal,72.22
Slovak Republic,67.59
Slovenia,56.48
Sweden,65.74
Turkey,87.04
United States,56.94
