,TriageCount
2020-03-18,17083
2020-03-19,16761
2020-03-20,15425
2020-03-21,18438
2020-03-22,18912
2020-03-23,16583
2020-03-24,14536
2020-03-25,14791
2020-03-26,14767
2020-03-27,13865
2020-03-28,16765
2020-03-29,15591
2020-03-30,13773
2020-03-31,13059
2020-04-01,13985
2020-04-02,12290
2020-04-03,11643
2020-04-04,12053
2020-04-05,11329
2020-04-06,11403
2020-04-07,10961
2020-04-08,9929
2020-04-09,8714
2020-04-10,9202
2020-04-11,10451
2020-04-12,9645
2020-04-13,9742
2020-04-14,9118
2020-04-15,8191
2020-04-16,7866
2020-04-17,7476
2020-04-18,8495
2020-04-19,7576
2020-04-20,7837
2020-04-21,6451
2020-04-22,6271
2020-04-23,6098
2020-04-24,6100
2020-04-25,6508
2020-04-26,6258
2020-04-27,6956
2020-04-28,6424
2020-04-29,6523
2020-04-30,6580
2020-05-01,6045
2020-05-02,6674
2020-05-03,6506
2020-05-04,7108
2020-05-05,5841
2020-05-06,5258
2020-05-07,5151
2020-05-08,4978
2020-05-09,5262
2020-05-10,5073
2020-05-11,6018
2020-05-12,5133
2020-05-13,4976
2020-05-14,4433
2020-05-15,4404
2020-05-16,4747
2020-05-17,4513
2020-05-18,5443
2020-05-19,4775
2020-05-20,3515
2020-05-21,2507
2020-05-22,1900
2020-05-23,2193
2020-05-24,2230
2020-05-25,2330
2020-05-26,1739
2020-05-27,1576
2020-05-28,1583
2020-05-29,1495
2020-05-30,1841
2020-05-31,1787
2020-06-01,1827
2020-06-02,1621
2020-06-03,1942
2020-06-04,1878
2020-06-05,1663
2020-06-06,2158
2020-06-07,2039
2020-06-08,1879
2020-06-09,1743
2020-06-10,1847
2020-06-11,1738
2020-06-12,1784
2020-06-13,2032
2020-06-14,2100
2020-06-15,2184
2020-06-16,1981
2020-06-17,1959
2020-06-18,1684
2020-06-19,1230
2020-06-20,1590
2020-06-21,1388
2020-06-22,1452
2020-06-23,1294
2020-06-24,1161
2020-06-25,1119
2020-06-26,1106
2020-06-27,1662
2020-06-28,1530
2020-06-29,1576
2020-06-30,1437
2020-07-01,1223
2020-07-02,1181
2020-07-03,1107
2020-07-04,1444
2020-07-05,1285
2020-07-06,1180
2020-07-07,1207
2020-07-08,1296
2020-07-09,1091
2020-07-10,1079
2020-07-11,1321
2020-07-12,1175
2020-07-13,1418
2020-07-14,1254
2020-07-15,1217
2020-07-16,1245
2020-07-17,1219
2020-07-18,1545
2020-07-19,1311
2020-07-20,1379
2020-07-21,1202
2020-07-22,1198
2020-07-23,1057
2020-07-24,987
2020-07-25,1380
2020-07-26,1186
2020-07-27,1248
2020-07-28,1010
2020-07-29,1049
2020-07-30,906
2020-07-31,895
2020-08-01,1181
2020-08-02,1183
2020-08-03,1272
2020-08-04,1228
2020-08-05,1171
2020-08-06,1166
2020-08-07,1024
2020-08-08,1301
2020-08-09,1216
2020-08-10,1387
2020-08-11,1366
2020-08-12,1477
2020-08-13,1346
2020-08-14,1381
2020-08-15,1672
2020-08-16,1636
2020-08-17,1781
2020-08-18,1564
2020-08-19,1573
2020-08-20,1437
2020-08-21,1343
2020-08-22,1631
2020-08-23,1616
2020-08-24,1777
2020-08-25,1500
2020-08-26,1468
2020-08-27,1533
2020-08-28,1441
2020-08-29,1831
2020-08-30,1869
2020-08-31,2325
2020-09-01,2181
2020-09-02,2209
2020-09-03,2205
2020-09-04,2072
2020-09-05,2560
2020-09-06,3182
2020-09-07,4425
2020-09-08,4613
2020-09-09,4478
2020-09-10,5029
2020-09-11,4695
2020-09-12,5083
2020-09-13,6519
2020-09-14,7505
2020-09-15,6073
2020-09-16,5624
2020-09-17,4838
2020-09-18,4245
2020-09-19,4520
2020-09-20,5196
2020-09-21,5892
2020-09-22,5232
2020-09-23,4945
2020-09-24,4190
2020-09-25,3405
2020-09-26,3526
2020-09-27,3772
2020-09-28,4633
2020-09-29,3949
2020-09-30,3949
2020-10-01,3379
2020-10-02,3315
2020-10-03,3539
2020-10-04,3634
2020-10-05,4622
2020-10-06,4051
2020-10-07,3653
2020-10-08,3760
2020-10-09,3079
2020-10-10,3120
2020-10-11,3479
2020-10-12,4259
2020-10-13,3887
2020-10-14,3446
2020-10-15,3346
2020-10-16,2837
2020-10-17,3420
2020-10-18,3341
2020-10-19,4355
2020-10-20,3783
2020-10-21,3597
2020-10-22,3314
2020-10-23,2859
2020-10-24,3160
2020-10-25,3289
2020-10-26,3491
2020-10-27,3313
2020-10-28,3134
2020-10-29,3129
2020-10-30,3026
2020-10-31,3226
2020-11-01,3499
2020-11-02,3941
2020-11-03,3461
2020-11-04,3345
2020-11-05,3429
2020-11-06,3366
2020-11-07,3544
2020-11-08,3550
2020-11-09,4452
2020-11-10,3721
2020-11-11,3545
2020-11-12,3332
2020-11-13,3111
2020-11-14,3517
2020-11-15,3518
2020-11-16,4242
2020-11-17,3649
2020-11-18,3522
2020-11-19,2906
2020-11-20,2803
2020-11-21,3103
2020-11-22,2860
2020-11-23,3367
2020-11-24,2874
2020-11-25,2839
2020-11-26,2528
2020-11-27,2318
2020-11-28,2813
2020-11-29,2844
2020-11-30,3092
2020-12-01,2530
2020-12-02,2606
2020-12-03,2640
2020-12-04,2464
2020-12-05,2841
2020-12-06,3019
2020-12-07,3372
2020-12-08,2955
2020-12-09,2977
2020-12-10,2874
2020-12-11,2913
2020-12-12,3348
2020-12-13,3417
2020-12-14,3731
2020-12-15,3518
2020-12-16,3518
2020-12-17,3421
2020-12-18,3464
2020-12-19,4177
2020-12-20,4070
2020-12-21,4213
2020-12-22,3938
2020-12-23,4003
2020-12-24,3027
2020-12-25,3031
2020-12-26,5636
2020-12-27,5615
2020-12-28,6619
2020-12-29,5042
2020-12-30,4973
2020-12-31,4539
2021-01-01,5896
2021-01-02,6295
2021-01-03,6336
2021-01-04,5807
2021-01-05,5165
2021-01-06,5178
2021-01-07,4970
2021-01-08,5071
