,England,Wales,Scotland,Northern Ireland
2020-09-01,1.85,1.62,2.82,2.59
2020-09-02,2.2,1.33,2.86,3.75
2020-09-03,2.68,1.59,1.85,4.07
2020-09-04,2.97,1.62,2.91,3.22
2020-09-05,2.62,2.44,2.58,6.23
2020-09-06,4.58,3.11,3.81,5.6
2020-09-07,4.49,4.22,2.67,7.45
2020-09-08,3.72,4.76,3.22,2.11
2020-09-09,4.06,5.23,2.91,2.59
2020-09-10,4.58,3.24,2.95,4.12
2020-09-11,5.58,4.22,3.2,4.65
2020-09-12,5.34,5.2,4.05,5.49
2020-09-13,5.04,5.14,4.47,4.59
2020-09-14,4.01,5.8,1.28,5.76
2020-09-15,4.71,3.49,4.89,4.17
2020-09-16,6.03,6.31,4.89,6.81
2020-09-17,4.95,5.33,5.31,7.87
2020-09-18,6.7,5.87,3.72,8.61
2020-09-19,6.46,6.72,6.41,11.72
2020-09-20,5.83,6.31,4.48,9.29
2020-09-21,6.67,7.42,4.67,6.6
2020-09-22,7.44,8.91,7.01,3.96
2020-09-23,9.03,12.34,8.9,11.62
2020-09-24,10.01,11.04,8.51,9.98
2020-09-25,10.17,10.15,10.21,14.42
2020-09-26,8.24,11.74,13.07,16.85
2020-09-27,8.53,11.48,6.3,9.88
2020-09-28,5.89,9.07,4.06,11.62
2020-09-29,10.04,11.61,14.75,16.9
2020-09-30,10.05,12.31,11.71,22.39
2020-10-01,9.93,12.62,12.23,13.68
2020-10-02,8.52,14.65,14.19,49.32
2020-10-03,19.2,18.27,13.98,38.34
2020-10-04,37.86,13.7,13.87,24.4
2020-10-05,18.98,18.9,12.76,32.53
2020-10-06,22.47,13.48,14.64,35.33
2020-10-07,20.48,23.85,19.29,43.72
2020-10-08,26.56,20.24,18.8,48.74
2020-10-09,19.14,24.3,22.81,57.03
2020-10-10,22.44,19.89,18.47,47.63
2020-10-11,18.45,14.81,17.5,56.29
2020-10-12,20.69,15.45,17.59,46.31
2020-10-13,25.42,24.23,23.74,45.57
2020-10-14,28.66,30.0,26.16,64.27
2020-10-15,28.67,23.06,24.73,40.29
2020-10-16,21.63,31.05,21.89,68.6
2020-10-17,23.63,21.38,21.36,54.44
2020-10-18,26.12,30.13,5.78,53.44
2020-10-19,29.07,19.85,18.18,43.3
2020-10-20,31.65,36.41,26.65,48.21
2020-10-21,40.77,30.51,31.83,54.87
2020-10-22,30.83,35.97,31.34,55.03
2020-10-23,30.41,24.14,25.64,66.12
2020-10-24,34.35,41.99,26.23,48.74
2020-10-25,29.29,35.02,23.85,47.32
2020-10-26,31.77,36.73,20.54,38.39
2020-10-27,34.87,38.28,24.29,38.13
2020-10-28,37.74,44.85,22.0,44.36
2020-10-29,35.07,43.61,20.65,43.41
2020-10-30,36.99,55.09,23.45,29.89
2020-10-31,33.51,41.26,20.15,34.27
2020-11-01,36.6,25.98,21.01,36.17
2020-11-02,28.18,52.21,17.41,26.03
2020-11-03,30.79,35.49,18.29,30.1
2020-11-04,38.84,38.12,26.23,35.86
2020-11-05,37.55,40.34,22.26,27.25
2020-11-06,36.01,42.88,19.62,31.42
2020-11-07,38.86,30.38,29.21,27.88
2020-11-08,32.5,23.6,20.41,22.18
