date,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
2020-09-01,1.0,0.8,1.4,1.5,2.0,0.7,0.6,1.4,1.8
2020-09-02,1.1,0.9,1.5,1.5,2.2,0.7,0.6,1.6,2.0
2020-09-03,1.3,0.9,1.6,1.7,2.3,0.8,0.7,1.8,2.1
2020-09-04,1.3,0.9,1.6,1.9,2.4,0.8,0.8,2.0,2.2
2020-09-05,1.4,0.9,1.7,2.2,2.5,0.8,0.8,2.2,2.3
2020-09-06,1.5,0.9,1.7,2.3,2.7,0.9,0.8,2.3,2.4
2020-09-07,1.6,0.9,1.8,2.2,2.8,0.9,0.8,2.5,2.5
2020-09-08,1.7,0.9,1.8,2.3,3.1,0.9,0.8,2.6,2.6
2020-09-09,1.7,0.9,1.9,2.4,3.1,0.9,0.7,2.5,2.6
2020-09-10,1.6,0.9,1.9,2.4,3.2,0.9,0.6,2.4,2.7
2020-09-11,1.6,0.8,1.9,2.4,3.2,0.8,0.6,2.3,2.7
2020-09-12,1.6,0.8,1.8,2.3,3.3,0.8,0.6,2.2,2.7
2020-09-13,1.6,0.8,1.8,2.3,3.4,0.7,0.5,2.1,2.7
2020-09-14,1.5,0.8,1.7,2.3,3.4,0.7,0.5,2.0,2.6
2020-09-15,1.4,0.8,1.6,2.5,3.4,0.6,0.5,1.9,2.6
2020-09-16,1.4,0.8,1.6,2.7,3.7,0.6,0.5,2.0,2.7
2020-09-17,1.5,0.8,1.6,2.9,3.9,0.6,0.5,2.1,2.8
2020-09-18,1.5,0.8,1.6,3.3,4.2,0.6,0.6,2.2,2.9
2020-09-19,1.6,0.9,1.7,3.6,4.5,0.6,0.6,2.4,3.1
2020-09-20,1.7,1.0,1.9,4.2,4.9,0.7,0.7,2.6,3.3
2020-09-21,1.9,1.0,1.9,4.6,5.2,0.8,0.7,2.9,3.4
2020-09-22,2.0,1.0,2.1,5.0,5.6,0.8,0.8,3.1,3.7
2020-09-23,2.0,1.1,2.3,5.4,5.9,0.9,0.9,3.3,3.8
2020-09-24,2.1,1.2,2.4,5.8,6.3,0.9,0.9,3.4,4.0
2020-09-25,2.1,1.1,2.5,6.0,6.6,1.0,1.0,3.4,4.1
2020-09-26,2.2,1.2,2.6,6.5,6.8,1.0,1.0,3.5,4.3
2020-09-27,2.4,1.2,2.7,6.7,7.2,1.1,1.0,3.5,4.7
2020-09-28,2.7,1.3,2.9,7.3,7.8,1.1,1.2,3.6,5.3
2020-09-29,3.0,1.4,3.0,7.8,8.5,1.2,1.3,3.8,5.8
2020-09-30,3.7,1.6,3.2,8.3,9.2,1.3,1.5,4.0,6.5
2020-10-01,4.3,1.7,3.4,8.6,9.6,1.4,1.6,4.1,7.3
2020-10-02,5.1,1.8,3.6,9.1,10.1,1.6,1.8,4.3,8.0
2020-10-03,5.6,1.9,3.8,9.5,10.3,1.7,2.0,4.4,8.4
2020-10-04,6.2,2.0,3.9,10.0,10.5,1.8,2.2,4.5,8.7
2020-10-05,7.0,2.2,4.2,10.6,11.0,2.0,2.5,4.9,9.3
