,Stringency index,Economic activity,Vaccinations per 100
Argentina,78.4392857142857,-3.543893245168355,4.64
Australia,63.261071428571434,2.607640366375657,0.53
Austria,76.75071428571425,-4.674395457723533,10.32
Belgium,60.19000000000004,-5.08762054278368,9.38
Brazil,69.51285714285716,-0.5630593248813927,5.25
Bulgaria,53.70000000000003,0.20991157162255292,4.85
Canada,75.46000000000002,-2.776672117543317,7.5
Chile,79.17000000000003,-0.8935705257861453,34.09
Colombia,81.02,0.32359544250549577,1.16
Denmark,66.40250000000002,-2.7492181321363054,13.98
Estonia,41.73571428571428,0.4079752770542558,12.19
Finland,53.501428571428555,-2.7809864220398506,11.75
France,65.27857142857145,-3.2964654066060732,9.91
Germany,82.86749999999998,-5.850839088793575,10.58
Greece,81.08464285714285,-2.7414704031153305,12.03
Hungary,72.22000000000001,-2.8914548056694276,17.29
Iceland,41.665000000000006,4.691842569226338,13.73
India,61.90214285714286,2.863412242519695,2.04
Indonesia,65.04749999999999,-1.3930580931205028,1.87
Ireland,87.96000000000002,-1.8451207478791818,11.2
Israel,68.48500000000003,1.7811278195431846,106.42
Italy,80.55500000000004,-0.08485817900841808,10.64
Japan,49.6392857142857,0.6731651220475415,0.18
South Korea,63.890000000000036,3.141731223777612,1.14
Latvia,56.41464285714286,-2.329391560706105,5.09
Lithuania,67.59500000000003,2.7436478554854835,12.86
Luxembourg,60.18499999999996,-2.3701247344886918,8.76
Mexico,66.66642857142857,-3.2170350184328806,3.11
Netherlands,79.62750000000001,-2.7056284420636123,9.45
New Zealand,29.59464285714287,2.9835794592157168,0.37
Norway,71.8925,-2.8332268835458914,12.74
Poland,71.43214285714284,-1.4821131486278991,11.6
Portugal,81.61142857142855,-6.7617130242687065,10.92
Romania,72.8164285714286,-0.393055194967074,10.5
Russia,45.83,2.7353931635711146,5.1
Slovenia,66.53321428571425,-0.6566513597608736,11.41
South Africa,57.042142857142885,-1.485737782947271,0.24
Spain,71.29999999999997,-5.103014473960417,11.45
Sweden,69.44000000000004,-2.4684691905825784,10.83
Switzerland,60.19000000000004,-0.7395771260806272,11.96
Turkey,70.48500000000003,-0.4040595728406985,12.74
United Kingdom,87.49750000000003,-7.312935521752175,36.47
United States,68.32428571428568,-0.9270614578058809,30.24
