,England,Northern Ireland,Scotland,Wales
2020-12-21,660.8280024213778,1127.4421532402478,892.6839089927333,553.145236464831
2020-12-22,660.8280024213778,1127.4421532402478,892.6839089927333,553.145236464831
2020-12-23,660.8280024213778,1127.4421532402478,892.6839089927333,553.145236464831
2020-12-24,660.8280024213778,1127.4421532402478,892.6839089927333,553.145236464831
2020-12-25,660.8280024213778,1127.4421532402478,892.6839089927333,553.145236464831
2020-12-26,660.8280024213778,1127.4421532402478,892.6839089927333,553.145236464831
2020-12-27,660.8280024213778,1127.4421532402478,892.6839089927333,553.145236464831
2020-12-28,687.337567525503,1084.2908041834783,844.5968030834321,564.4727519560013
2020-12-29,713.8471326296283,1041.1394551267088,796.5096971741307,575.8002674471717
2020-12-30,740.3566977337534,997.9881060699389,748.4225912648295,587.1277829383422
2020-12-31,766.8662628378787,954.8367570131693,700.3354853555282,598.4552984295125
2021-01-01,793.3758279420038,911.6854079563998,652.2483794462269,609.7828139206829
2021-01-02,819.8853930461291,868.5340588996299,604.1612735369256,621.1103294118532
2021-01-03,846.3949581502542,825.3827098428603,556.0741676276243,632.4378449030236
2021-01-04,1151.5328694737261,1246.3346814106478,668.4081572885043,777.9284538716157
2021-01-05,1456.670780797198,1667.286652978435,780.7421469493844,923.4190628402077
2021-01-06,1761.8086921206698,2088.2386245462226,893.0761366102644,1068.9096718087999
2021-01-07,2066.9466034441416,2509.19059611401,1005.4101262711443,1214.400280777392
2021-01-08,2372.084514767613,2930.142567681797,1117.7441159320244,1359.890889745984
2021-01-09,2677.222426091085,3351.094539249584,1230.0781055929042,1505.381498714576
2021-01-10,2982.360337414557,3772.0465108173717,1342.4120952537846,1650.872107683168
2021-01-11,2912.7502041344383,3800.562612117125,1481.783642016468,1651.461138488709
2021-01-12,2962.944523815078,3999.647245265403,1712.4657781403705,1875.202224470306
2021-01-13,3166.7699583720137,4400.30601246908,1950.626387505197,2165.639721663914
2021-01-14,3450.466720246022,4775.7680129158325,2197.4683014713764,2537.4087800841257
2021-01-15,3848.5365833026335,4504.638732303892,2457.1491327847375,2685.7086128945275
2021-01-16,4126.045664973304,4205.747744606478,2745.4887286856974,2834.00844570493
2021-01-17,4095.538726481051,4132.496066399968,2681.6340725516498,2982.3082785153324
2021-01-18,4172.844120785172,4146.226041099849,2867.680705800524,3210.7163008792913
2021-01-19,4461.459555437715,3857.8965724023433,3114.914847384234,3384.978799195456
2021-01-20,4645.965620959457,3381.7229443493193,3345.440092461123,3522.268286948441
2021-01-21,4849.641312640265,2996.302940274082,3529.316399559659,3906.9960230905513
2021-01-22,5105.688940742676,2990.871301931272,3671.747321739085,4804.407110363032
2021-01-23,5529.270929067518,2849.3469473324963,3807.8503050223444,5509.4316745334745
2021-01-24,5639.304024857297,2687.3030701053262,3981.136466447542,5411.743180937622
2021-01-25,5804.978020194969,2389.6191131507585,4065.883780342075,5797.42242838099
2021-01-26,5700.779820544432,2312.520024451425,4042.7946479234165,6196.5134541659045
2021-01-27,5528.494296523539,2464.8322163143935,4160.332190643541,6611.372381514527
2021-01-28,5489.325113349584,3519.3998884552716,4178.7145916518275,6807.293089449811
2021-01-29,5520.517315851231,3861.366785788028,4318.504514539878,6249.798087036369
