,Black 44.2%,Mixed 38.5%,Other 43.1%,South Asian 28.5%,Unknown 28.3%,White 15.5%,All 19.3%
2020-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-12-02,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-12-03,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-12-04,100.0,100.0,100.0,100.0,100.0,99.99993471383114,99.99994981242394
2020-12-06,100.0,100.0,100.0,100.0,100.0,99.99988198654411,99.99991604279467
2020-12-07,100.0,100.0,100.0,100.0,100.0,99.99971645805067,99.99977995887431
2020-12-08,99.99828922382085,99.99693505378981,99.99376490577214,99.98794634401135,99.99327462196297,99.98792837502515,99.98899027067553
2020-12-09,99.98460301438763,99.96322064547768,99.97661839664552,99.96670895012656,99.98123973494931,99.96284125316383,99.96590412544843
2020-12-10,99.97433835731272,99.9509608606369,99.95635434040497,99.94489757262328,99.96814294614035,99.93517090291284,99.94095127870959
2020-12-11,99.95894137170033,99.92950623716554,99.94232537839228,99.92251221150148,99.95433822280116,99.90740119772377,99.9157317603262
2020-12-12,99.94183360990881,99.91111655990437,99.92517886926566,99.90127481761671,99.94017953219686,99.88271149561473,99.8928360948452
2020-12-13,99.93327972901305,99.89885677506359,99.91270868080994,99.88175937458745,99.92956051424365,99.86308889534696,99.87470242301666
2020-12-14,99.92130429575899,99.88046709780244,99.89556217168332,99.85248621004357,99.91398595457892,99.83477273799855,99.84845431400434
2020-12-15,99.87682411510102,99.83449290464952,99.84568141786043,99.7859041102967,99.84673217420853,99.67143321982032,99.70875646821598
2020-12-16,99.81010384411408,99.76399914181506,99.78644802269574,99.69177079686146,99.74195786373676,99.41107360462199,99.48776186679294
2020-12-17,99.73996202076883,99.70270021761118,99.7209795333032,99.58902772914861,99.64461686583225,99.166610779514,99.27907225696785
2020-12-18,99.6835064068568,99.6414012934073,99.66954000592334,99.48456271058024,99.57630118366653,98.9953228662906,99.13015519146833
2020-12-19,99.6219184644073,99.58316731541362,99.61342415787259,99.36402615069366,99.51258707594721,98.80113363984331,98.96291397439418
2020-12-20,99.56888440285357,99.52493333741992,99.56042585693577,99.25439527955872,99.43542221215382,98.61439603375088,98.80092999831236
2020-12-21,99.51585034129985,99.47589419805682,99.49963368821412,99.14935627737185,99.37277000622983,98.47197073003525,98.67471811854773
2020-12-22,99.45426239885036,99.39620559659178,99.42948887815066,99.03513353728884,99.29525117517132,98.2610898739931,98.49300044077013
2020-12-23,99.39780678493833,99.31038710270634,99.33596246473275,98.90598722312465,99.2170244095826,98.0821019530697,98.3341403325243
2020-12-24,99.37556669460935,99.27054280197383,99.30011067292254,98.83481325442972,99.18552132298805,98.02626447787738,98.28133934690591
2020-12-25,99.37556669460935,99.27054280197383,99.29699312580861,98.8330913035742,99.18552132298805,98.02616512293932,98.28107267526137
2020-12-26,99.37214514225104,99.26747785576363,99.29543435225165,98.82849943462614,99.18445942119273,98.02482383127544,98.27947264539414
2020-12-27,99.36701281371359,99.25215312471266,99.279846616682,98.81587179501896,99.17561023956505,98.01364640074317,98.26842482012046
2020-12-28,99.35332660428037,99.2337634474515,99.25958256044144,98.78889456494912,99.16286741802118,97.99412315541348,98.24926255766299
2020-12-29,99.31055719980155,99.178594415668,99.20034916527676,98.70164905493597,99.1200373789432,97.89834499511919,98.1623276015438
2020-12-30,99.21133218141071,99.06519140589083,99.0772060542765,98.513956411684,99.01172339582035,97.6588002394454,97.94788550338654
2020-12-31,99.12237182009477,98.93339871885249,98.95873926394712,98.34233530975025,98.90376337996263,97.45899745899746,97.76513923498001
2021-01-01,99.09842095358664,98.90887914917093,98.92756379280782,98.30043450559921,98.87473806422382,97.41369160724,97.72289082729544
2021-01-02,99.06933775854105,98.878229687069,98.89171200099761,98.2464800454595,98.84748258481056,97.362970911358,97.67557565836466
2021-01-03,99.05394077292868,98.84758022496705,98.86053652985831,98.20572720854547,98.82447471257858,97.32630893921217,97.64079405672716
2021-01-04,99.00603903991241,98.80160603181415,98.79974436113666,98.13340527261352,98.79190972418871,97.26952759210823,97.58582160200324
2021-01-05,98.92905411185055,98.69126796824716,98.70154162704785,97.99163131884217,98.72500991108342,97.16033651517523,97.47999105507112
2021-01-06,98.81614288402648,98.55334538878843,98.56281078047792,97.81484436434184,98.61492609163504,96.9743937485873,97.3061973347312
2021-01-07,98.63993293757378,98.36944861617678,98.3570526709585,97.53014848956211,98.39617432179872,96.50697844246231,96.89407535607332
2021-01-08,98.39871349631328,98.12425291936127,98.09829626050224,97.17944449865401,98.14131789092144,95.9695675824708,96.4165045366561
2021-01-09,98.16091560741108,97.91583657706808,97.91747852789425,96.87351122998949,97.91725661210852,95.4919683951942,95.99352521247063
2021-01-10,98.0343181701538,97.79017378245011,97.80680560534971,96.68983647206709,97.79195220026052,95.24989008859977,95.77512113559453
2021-01-11,97.88376986638838,97.63079657952002,97.67742740012159,96.50673569776319,97.6602763776406,95.01680340390018,95.56155524426933
2021-01-12,97.6818982772484,97.42851012964722,97.50128598818449,96.28517802101928,97.4432944441298,94.60994493252558,95.20017706997197
2021-01-13,97.40646331240484,97.17411959420112,97.2939691051081,95.98326263768432,97.1583507957184,94.0405914599463,94.69849151469874
2021-01-14,97.0660188527535,96.89214454286328,97.02118373263916,95.58836190815114,96.85252307866568,93.4385998902128,94.15996717653016
2021-01-15,96.68109421244418,96.55806540595212,96.76398609573987,95.19460914585498,96.48262728662853,92.71072561395142,93.51683136180446
2021-01-16,96.37315450019673,96.27915530082447,96.5286112886381,94.84677507303941,96.12972192331654,91.98111262627391,92.88017185844612
2021-01-17,96.17812601577336,96.1075183130536,96.37273393294156,94.64645479018029,95.93574786203772,91.60699160699161,92.54881329213383
2021-01-18,95.91808803654217,95.88684218591963,96.21062148301716,94.4254710970549,95.74602140794019,91.27693450274096,92.24812196494335
2021-01-19,95.59646211486151,95.6018021883716,95.96433526101663,94.08796872937246,95.40090332446056,90.56823572952605,91.62837706303851
2021-01-20,95.18587583186492,95.26159315904006,95.68687356787679,93.64944524483272,95.00799966019143,89.7487562003691,90.90840171873684
2021-01-21,94.7650248917934,94.89992950623717,95.4390285723193,93.2436388265479,94.59385796001585,88.9128831064315,90.17596899904036
2021-01-22,94.25521359040597,94.47083703681001,95.05245273019189,92.72820153712813,94.04556266636462,87.76195550389099,89.17400743861505
2021-01-23,93.85831351684259,94.10917338400711,94.72355150967219,92.27073659317763,93.48558645296482,86.57699883506335,88.15330267117368
2021-01-24,93.64104494209023,93.90382198792412,94.53961622995027,92.02621957169342,93.25763153423571,86.12135708909902,87.75123802310976
2021-01-25,93.36560997724668,93.67088607594937,94.37750378002588,91.75644727099488,93.01941156481848,85.68270503754374,87.35831640285856
2021-01-26,93.02516551759533,93.3950409170319,94.14836406715196,91.43272051015664,92.72632666930963,85.12219415445222,86.85884041264009
2021-01-27,92.6590594152567,93.11919575811444,93.92078312783502,91.08086855201152,92.43253383927055,84.58632329600071,86.37578377653526
2021-01-28,92.27926710348486,92.80350629846447,93.66202671737877,90.67850603543775,92.06122217817295,83.79958121893605,85.6870852065429
2021-01-29,91.87381314902571,92.45716737671253,93.3767711564541,90.26236791201978,91.5511553491533,82.71164464712852,84.74996295168938
2021-01-30,91.54705489880759,92.18132221779507,93.11177965177,89.85656149373497,91.03967265107323,81.62872549969325,83.82034559883213
2021-01-31,91.33834020495098,91.9637110368713,92.94499088117469,89.57817943875882,90.71331483264427,80.98356420937066,83.26056372099899
2021-02-01,91.09369921133218,91.7614245869985,92.7782021105794,89.33423640089312,90.43863623492099,80.40874621519782,82.76196393761255
2021-02-02,90.82168579884694,91.54074845986453,92.5755615481739,89.0122315909104,90.11581808914312,79.76025653445008,82.1947914456308
2021-02-03,90.52914307221187,91.30168265546939,92.36045079731268,88.67185930513543,89.70875573426969,78.95165637101121,81.49355930834518
2021-02-04,90.15961541751493,91.01051276550096,92.11104702819821,88.27523662474673,89.29072039417795,78.09849551785035,80.7500406674258
2021-02-05,89.81574940550527,90.71627792932235,91.83982042928623,87.88148386245057,88.86100413433766,77.29004438681858,80.03974169422591
2021-02-06,89.53176055976597,90.4281729855641,91.6028868486275,87.49863678890604,88.3169564478677,76.29073241976468,79.17374457656543
2021-02-07,89.3760799274631,90.2749256750544,91.46883232272847,87.28396691558423,88.0125445998754,75.77711706743965,78.72421237577387
2021-02-08,89.14341436709836,90.1186134183345,91.32542515548766,87.04346777942958,87.73857393668234,75.30269723818111,78.30431882347519
2021-02-09,88.87311173079226,89.90100223741074,91.1212258195252,86.71170524793223,87.354873421306,74.63528044173205,77.71546973638746
2021-02-10,88.54635348057414,89.63741686333405,90.89052733309433,86.2823655012886,86.93648411394915,73.92514102191521,77.08117218188073
2021-02-11,88.13234564521923,89.31866245747388,90.58812526304304,85.76807617910585,86.43809820467803,73.07153307153308,76.31822460685933
2021-02-12,87.67385762920637,88.9447390198302,90.26701791030817,85.25952669310817,85.90325366710087,72.14837666450569,75.49626640649673
2021-02-13,87.3060407506886,88.62291966775983,89.96773338737081,84.76704874842872,85.34079968284533,71.16193116193116,74.6270692291018
2021-02-14,87.12298769951927,88.44208784135839,89.80094461677552,84.47144718489734,85.07001472503823,70.74260364582946,74.24633831260088
2021-02-15,86.90400834858775,88.25512612253655,89.63415584618022,84.17354968689193,84.78436314209662,70.29436384275094,73.84080693315799
2021-02-16,86.56185311275726,87.94250160909677,89.34422396458467,83.71608474294143,84.36668176926997,69.576375382827,73.19629966426041
2021-02-17,86.1427129488649,87.50727924724922,88.99038236715353,83.14382307528943,83.81590870476299,68.58113696823375,72.31243554641591
2021-02-18,85.73725899440576,87.08738161645263,88.67395133508955,82.58705896533712,83.31292122104549,67.70293867068061,71.52590657882757
2021-02-19,85.40365763947102,86.74104269470071,88.38713700060792,82.1049127257908,82.90904457155801,66.99980377399731,70.89248523115289
2021-02-20,85.11795801755257,86.41615839642014,88.13929200505042,81.68475671704329,82.52428215438636,66.31216824765212,70.27940712036148
2021-02-21,84.95201272817476,86.29049560180219,88.0099137998223,81.4413876627961,82.37172226312511,66.0592105753396,70.04443130557485
2021-02-22,84.7244794963475,86.09740399055997,87.86338908546756,81.15037796821278,82.16819108568839,65.7459941330909,69.7519687034158
2021-02-23,84.36692727490463,85.75719496122844,87.58280984521379,80.7170203362396,81.81670159143682,65.12611867450578,69.19096775520762
2021-02-24,83.94949788719143,85.30051797590953,87.21649805932692,80.15451639010223,81.32964263464915,64.26684749265394,68.41834380908443
2021-02-25,83.4499512428789,84.7948018512275,86.81277570807289,79.47836368750036,80.78311717732345,63.35129173838851,67.58526159154971
2021-02-26,82.92474295587908,84.24004658718239,86.37631911212259,78.84985162523462,80.21393781503087,62.372397211106886,66.70234987243572
2021-02-27,82.47994114929944,83.7803046556533,86.04585911804593,78.30112328594142,79.73926771252195,61.61044419108935,66.00683212753304
2021-02-28,82.26609412690537,83.56269347472951,85.88218789456455,78.02675911629483,79.49255252874214,61.26399352205804,65.68492135662723
2021-03-01,82.09672728516928,83.37573175590768,85.7450158215516,77.8270128170542,79.26707538086877,60.96245128503193,65.40670663947631
2021-03-02,81.88288026277522,83.17651025224507,85.52834629713341,77.59340148432163,79.01363481905193,60.607754156141254,65.07938624378131
2021-03-03,81.55783278873625,82.85775584638489,85.2680311131202,77.18472514794428,78.63488984538711,60.071684587813614,64.58284364165274
2021-03-04,81.16948659606864,82.46544273148007,84.96718781662588,76.68306346536869,78.14216741235771,59.34043224365805,63.914869268035865
2021-03-05,80.7349494465639,82.00876574616116,84.60243480429598,76.14294488035311,77.59705782409243,58.55518049066436,63.19390342905449
2021-03-06,80.2490890116846,81.51224446010973,84.19403613237105,75.59134662296738,77.02681656000453,57.71607836123965,62.42547003734546
2021-03-07,80.08143294612766,81.34673736475925,84.06309915358595,75.36634504451243,76.81302033187971,57.4279987183213,62.15761741838229
2021-03-08,79.88640446170427,81.15671069972723,83.8994279301046,75.13445566263539,76.54754488304921,57.083535148051276,61.83879241936326
2021-03-09,79.59557251124835,80.9115150029117,83.65937680233192,74.81417280350819,76.26472503822846,56.712345099441876,61.48705252021847
2021-03-10,79.30816211315073,80.62647500536366,83.39282652409085,74.49388994438098,75.91748315115818,56.27811434263047,61.07896871217787
2021-03-11,79.00364395326159,80.32304533055445,83.13562888719156,74.20230626617916,75.55466670442317,55.841648099712614,60.669018202625494
2021-03-12,78.52975895163635,79.87249823765593,82.76308200707683,73.71499417406628,74.96070963357309,55.10979962592866,59.986262600711406
2021-03-13,77.91559030332061,79.20433996383363,82.25492182750612,73.0382674878459,74.07366766721414,53.959716540361704,58.92951906530827
2021-03-14,77.62817990522299,78.91010512765502,81.99148909637897,72.69961715292645,73.64111966925299,53.417437288405026,58.4281382776288
2021-03-15,77.21930439840555,78.49327244306862,81.62050098982121,72.22493270042074,73.00999603556663,52.65170878074104,57.718144072022675
2021-03-16,76.77450259182591,78.00288104943758,81.19027948809877,71.73876857554485,72.21427762360537,51.75229820391111,56.8839951679098
2021-03-17,76.26469129043846,77.44199589297207,80.6930307234268,71.04998823333582,71.36227841649205,50.81841146357276,55.99994057031922
2021-03-18,75.67105195627256,76.77077267293959,80.1396661107041,70.42606804001814,70.30533216288158,49.685467104821946,54.94087318201368
2021-03-19,74.98674148461157,76.01679590523186,79.4912163110065,69.67185356529924,69.16909724188707,48.45927813669749,53.7877468950849
