,Black,Mixed,Other,South Asian,Unknown,White,All
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.00017551804149948573,0.00013930816777718496
2020-12-08,0.001717327837884252,0.003076260497738949,0.0062715584822828465,0.012093360744951022,0.006991369154778425,0.011892878504542681,0.010900059035634428
2020-12-09,0.015455950540958269,0.03383886547512843,0.023518344308560677,0.033400710628912346,0.01887669671790175,0.03697242145972892,0.03391976413186937
2020-12-10,0.025759917568263783,0.04922016796382318,0.04233301975540922,0.05413218619168553,0.03250986656971968,0.06473905830297083,0.05892129814367421
2020-12-11,0.042933195947106303,0.07075399144799582,0.05644402634054562,0.07716715903921129,0.044744762590581924,0.0925554561441397,0.08407528053359982
2020-12-12,0.05838914648806457,0.0892115544344295,0.07525870178739416,0.09847450892317261,0.05942663781561662,0.11718715011798332,0.10698064934624418
2020-12-13,0.06697578567748583,0.1015165964253853,0.08780181875195986,0.11805423584356949,0.06956412309004534,0.13679298330120432,0.12504578215355439
2020-12-14,0.0789970805426756,0.119974159411819,0.10661649419880839,0.14742382622416483,0.0852947036882968,0.16520651311749665,0.1514193515684461
2020-12-15,0.12364760432766615,0.1661180668779032,0.15365318281592974,0.21537699612436584,0.15206227911643075,0.32906947929096547,0.29140507477783506
2020-12-16,0.1889060621672677,0.23687205832589905,0.2116650987770461,0.3092445104780333,0.2562336795226293,0.5903147184074888,0.5127982319037105
2020-12-17,0.2610338313584063,0.2922447472852001,0.28222013170272814,0.41232601397071106,0.35516155306274405,0.835586677189459,0.7222623034416364
2020-12-18,0.31770565000858664,0.35376995723997906,0.33082470994042024,0.5159833917845769,0.4236769707795726,1.0074114030312409,0.8713949293382711
2020-12-19,0.37609479649665123,0.41837142769249697,0.38883662590153656,0.6374928735552753,0.48799756700353414,1.202126187919423,1.0390881452711085
2020-12-20,0.4327666151468315,0.4737441166517981,0.44214487300094074,0.7469089945810226,0.5656017646215747,1.3890782571309999,1.201216995402538
2020-12-21,0.48600377812124335,0.5260405451133602,0.5048604578237692,0.852293995358453,0.6278249500991027,1.5320416041751468,1.3278253734318302
2020-12-22,0.5443929246093079,0.6060233180545729,0.5722797115083098,0.9663171109537054,0.7057787161748821,1.7435756063626402,1.509810624813489
2020-12-23,0.6044993989352567,0.6921586119912634,0.6679209783631233,1.096464707542226,0.7840820507084005,1.9230137648872465,1.6691191799496845
2020-12-24,0.6251073329898678,0.7259974774663919,0.707118218877391,1.1667213747271796,0.8158927803626423,1.978945126557146,1.7219044308739981
2020-12-25,0.6251073329898678,0.7290737379641308,0.7086861084979618,1.169024872011932,0.8158927803626423,1.979144170548854,1.7222855518192999
2020-12-26,0.6285419886656363,0.7321499984618698,0.7118218877391032,1.1742077409026255,0.816941485735859,1.980388195497028,1.7238862597895679
2020-12-27,0.6354113000171733,0.7475313009505645,0.7275007839448103,1.1868769759687645,0.8232337179751597,1.9916839420264472,1.7347863188252024
2020-12-28,0.6439979392065945,0.7629126034392592,0.7447475697710881,1.2139430690646074,0.8340703401650662,2.011638102195157,1.7538423660902975
